2023-07-06 10:44:10.648 INFO | [MainThread] chat [110] | LogHandler.py <module> | this is a test msg
2023-07-06 10:44:38.738 INFO | [MainThread] chat [106] | LogHandler.py <module> | this is a test msg
2023-07-06 10:44:50.117 INFO | [MainThread] chat [105] | LogHandler.py <module> | this is a test msg
2023-07-06 11:22:12.192 INFO | [MainThread] chat [13] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:34:47.477 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:35:44.843 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:49:27.472 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:49:27.658 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 11:55:46.452 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:55:46.545 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 11:55:51.858 INFO | [Thread-1] chat [21] | chat.py question | 请求参数: {}
2023-07-06 11:56:23.456 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 11:56:23.531 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 11:56:29.130 INFO | [Thread-1] chat [21] | chat.py question | 请求参数: {'systemContent': '你好', 'question': '他有什么伟大贡献？', 'sessionLog': [{'question': '毛主席是谁', 'answer': '毛主席指的是中国共产党的创始人之一、中华人民共和国的主要领导人之一、毛泽东同志。他在中国革命和建设时期发挥了重要作用，被尊称为毛主席。'}]}
2023-07-06 12:02:53.598 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 12:02:53.690 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 12:03:00.535 INFO | [Thread-1] chat [21] | chat.py question | 请求参数: {'systemContent': '你好', 'question': '他有什么伟大贡献？', 'sessionLog': [{'question': '毛主席是谁', 'answer': '毛主席指的是中国共产党的创始人之一、中华人民共和国的主要领导人之一、毛泽东同志。他在中国革命和建设时期发挥了重要作用，被尊称为毛主席。'}]}
2023-07-06 12:03:00.535 INFO | [Thread-1] chat [77] | chat_service.py question_answer_turbo_api | messages:[{'role': 'system', 'content': '你好'}, {'role': 'user', 'content': '毛主席是谁'}, {'role': 'assistant', 'content': '毛主席指的是中国共产党的创始人之一、中华人民共和国的主要领导人之一、毛泽东同志。他在中国革命和建设时期发挥了重要作用，被尊称为毛主席。'}, {'role': 'user', 'content': '他有什么伟大贡献？'}]
2023-07-06 12:09:35.178 INFO | [MainThread] chat [21] | apollo_config.py <module> | 加载apollo配置
2023-07-06 12:09:35.282 INFO | [MainThread] chat [40] | app.py <module> | Starting the app...
2023-07-06 12:09:51.963 INFO | [Thread-1] chat [21] | chat.py question | 请求参数: {'systemContent': '你好', 'question': '他有什么伟大贡献？', 'sessionLog': [{'question': '毛主席是谁', 'answer': '毛主席指的是中国共产党的创始人之一、中华人民共和国的主要领导人之一、毛泽东同志。他在中国革命和建设时期发挥了重要作用，被尊称为毛主席。'}]}
2023-07-06 12:09:51.963 INFO | [Thread-1] chat [77] | chat_service.py question_answer_turbo_api | messages:[{'role': 'system', 'content': '你好'}, {'role': 'user', 'content': '毛主席是谁'}, {'role': 'assistant', 'content': '毛主席指的是中国共产党的创始人之一、中华人民共和国的主要领导人之一、毛泽东同志。他在中国革命和建设时期发挥了重要作用，被尊称为毛主席。'}, {'role': 'user', 'content': '他有什么伟大贡献？'}]
